,oil,gas,coal,geological,total
2024-10-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-11-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-12-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2025-01-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-02-01,2.4715302,3.2823753,2.9901628,1.7583333333333335,10.502401633333333
2025-03-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-04-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-05-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-06-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-07-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-08-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-09-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-10-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-11-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-12-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2026-01-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-02-01,2.473006,3.27494,3.0171824,1.7583333333333335,10.523461733333333
2026-03-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-04-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-05-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-06-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-07-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-08-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-09-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-10-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-11-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-12-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
