time;emission(Tg/Year)
2.018250000000000000e+03;2.472342472130029112e+00
2.018333333333333258e+03;2.536742521500891634e+00
2.018416666666666742e+03;2.504543810415716276e+00
2.018500000000000000e+03;2.441808248437297379e+00
2.018583333333333258e+03;2.613350385506771900e+00
2.018666666666666742e+03;2.454253254651819649e+00
2.018750000000000000e+03;2.600316943530497582e+00
2.018833333333333258e+03;2.549346247251715880e+00
2.018916666666666742e+03;2.391397714661384732e+00
2.019000000000000000e+03;2.495851038843611924e+00
2.019083333333333258e+03;2.554060436221636365e+00
2.019166666666666742e+03;2.490689578791947412e+00
2.019250000000000000e+03;2.555189619829892678e+00
2.019333333333333258e+03;2.524934517306276049e+00
2.019416666666666742e+03;2.547210483104786594e+00
2.019500000000000000e+03;2.552873014562404563e+00
2.019583333333333258e+03;2.609276774516870123e+00
2.019666666666666742e+03;2.642137072470431836e+00
2.019750000000000000e+03;2.536244382067400771e+00
2.019833333333333258e+03;2.657966463845065519e+00
2.019916666666666742e+03;2.605584476738117328e+00
2.020000000000000000e+03;2.343817916502255905e+00
2.020083333333333258e+03;2.531291247698256530e+00
2.020166666666666742e+03;2.557449486232955760e+00
2.020250000000000000e+03;2.565192703749656467e+00
2.020333333333333258e+03;2.473331917328764007e+00
2.020416666666666742e+03;2.461026213856130962e+00
2.020500000000000000e+03;2.545023725062864006e+00
2.020583333333333258e+03;2.600335324522923042e+00
2.020666666666666742e+03;2.485558899382064535e+00
2.020750000000000000e+03;2.462512575171327711e+00
2.020833333333333258e+03;2.431688985966500294e+00
2.020916666666666742e+03;2.382561283946687425e+00
2.021000000000000000e+03;2.532871953378140972e+00
2.021083333333333258e+03;2.500720385977911242e+00
2.021166666666666742e+03;2.544029610373148564e+00
2.021250000000000000e+03;2.515768900209199632e+00
2.021333333333333258e+03;2.473555865489492689e+00
2.021416666666666742e+03;2.482366097859641130e+00
2.021500000000000000e+03;2.617650742962474020e+00
2.021583333333333258e+03;2.631555316123282751e+00
2.021666666666666742e+03;2.480350424876994975e+00
2.021750000000000000e+03;2.469282803990437092e+00
2.021833333333333258e+03;2.526572185902370649e+00
2.021916666666666742e+03;2.481240842001310121e+00
